u, y, t
119,-60005,4018
120,-60202,4023
120,-60399,4028
120,-60596,4033
120,-60799,4038
120,-61008,4043
120,-61208,4048
121,-61411,4054
121,-61612,4059
121,-61815,4064
121,-62018,4069
121,-62219,4074
121,-62424,4079
122,-62622,4084
122,-62839,4089
122,-63049,4094
122,-63207,4099
122,-63417,4104
123,-63630,4109
123,-63849,4114
123,-64064,4119
123,-64271,4124
123,-64479,4129
123,-64693,4134
124,-64864,4139
124,-65070,4144
124,-65274,4149
124,-65480,4154
124,-65693,4159
124,-65911,4164
125,-66125,4169
125,-66327,4174
125,-66537,4179
125,-66710,4184
125,-66920,4189
125,-67125,4194
126,-67339,4199
126,-67558,4204
126,-67774,4209
126,-67995,4214
126,-68200,4219
126,-68373,4224
127,-68594,4229
127,-68817,4234
127,-69030,4239
127,-69242,4244
127,-69462,4249
127,-69685,4254
128,-69907,4259
128,-70117,4264
128,-70289,4269
128,-70505,4274
128,-70728,4279
128,-70953,4284
129,-71171,4289
129,-71392,4294
129,-71614,4299
129,-71828,4304
129,-72041,4310
129,-72255,4315
130,-72477,4320
130,-72693,4325
130,-72912,4330
130,-73132,4335
130,-73353,4340
130,-73574,4345
131,-73796,4350
131,-73972,4355
131,-74182,4360
131,-74406,4365
131,-74633,4370
132,-74853,4375
132,-75077,4380
132,-75309,4385
132,-75535,4390
132,-75712,4395
132,-75943,4400
133,-76168,4405
133,-76389,4410
133,-76613,4415
133,-76838,4420
133,-77057,4425
133,-77284,4430
134,-77513,4435
134,-77693,4440
134,-77917,4445
134,-78137,4450
134,-78365,4455
134,-78596,4460
135,-78829,4465
135,-79060,4470
135,-79297,4475
135,-79490,4480
135,-79720,4485
135,-79951,4490
136,-80176,4495
136,-80413,4500
136,-80644,4505
136,-80879,4510
136,-81111,4515
136,-81346,4520
137,-81533,4525
137,-81764,4530
137,-81991,4535
137,-82227,4540
137,-82460,4545
137,-82694,4550
138,-82930,4555
138,-83167,4560
138,-83406,4566
138,-83646,4571
138,-83873,4576
138,-84096,4581
139,-84335,4586
139,-84583,4591
139,-84813,4596
139,-85054,4601
139,-85293,4606
140,-85484,4611
140,-85723,4616
140,-85954,4621
140,-86196,4626
140,-86444,4631
140,-86684,4636
141,-86913,4641
141,-87154,4646
141,-87348,4651
141,-87592,4656
141,-87828,4661
141,-88062,4666
142,-88298,4671
142,-88538,4676
142,-88781,4681
142,-89026,4686
142,-89274,4691
142,-89470,4696
143,-89709,4701
143,-89945,4706
143,-90190,4711
143,-90433,4716
143,-90670,4721
143,-90910,4726
144,-91151,4731
144,-91346,4736
144,-91587,4741
144,-91828,4746
144,-92062,4751
144,-92309,4756
145,-92555,4761
