accel_x,accel_y,accel_z,range_sensor,t
-0.02832,0.072998,-0.932617,113.0,9.884246
-0.029541,0.082031,-0.930664,115.0,9.915409
-0.038086,0.068848,-0.931641,114.0,9.947202
-0.041748,0.071777,-0.937256,116.0,9.979224
-0.030762,0.057617,-0.925537,114.0,10.010602
-0.02832,0.081299,-0.917236,113.0,10.04172
-0.028076,0.061279,-0.924072,115.0,10.0738
-0.011475,0.095215,-0.938965,115.0,10.105536
-0.037842,0.061523,-0.94458,117.0,10.137002
-0.037598,0.062012,-0.924072,114.0,10.168787
-0.048584,0.074707,-0.944824,114.0,10.200076
-0.027832,0.051025,-0.943604,117.0,10.231788
-0.029541,0.060059,-0.924316,113.0,10.263047
-0.026611,0.095215,-0.913818,116.0,10.294996
-0.027344,0.084473,-0.929199,115.0,10.326787
-0.034668,0.044189,-0.927734,117.0,10.35796
-0.02124,0.051025,-0.914551,115.0,10.390043
-0.015625,0.114502,-0.937988,115.0,10.421812
-0.017334,0.069092,-0.932861,114.0,10.453794
-0.02417,0.076416,-0.933838,115.0,10.484949
-0.032715,0.091064,-0.93042,117.0,10.516835
-0.0354,0.052246,-0.920166,115.0,10.548078
-0.032471,0.064453,-0.924805,113.0,10.579792
-0.037354,0.058105,-0.912109,114.0,10.610994
-0.026367,0.073242,-0.92749,117.0,10.642789
-0.037354,0.081543,-0.924316,115.0,10.674649
-0.023438,0.082764,-0.937256,115.0,10.705647
-0.031982,0.063232,-0.926758,115.0,10.737339
-0.025391,0.056641,-0.951416,117.0,10.769339
-0.017334,0.065918,-0.928711,117.0,10.800338
-0.020508,0.095459,-0.951904,119.0,10.832333
-0.031738,0.08252,-0.95459,112.0,10.864369
-0.027832,0.060547,-0.930176,116.0,10.896364
-0.025146,0.09082,-0.928467,114.0,10.927607
-0.039307,0.0625,-0.927734,114.0,10.959337
-0.014648,0.094238,-0.979736,114.0,10.990928
-0.039551,0.069824,-0.9375,116.0,11.022703
-0.028564,0.079102,-0.923096,116.0,11.054661
-0.041504,0.061035,-0.931885,112.0,11.085662
-0.035645,0.063232,-0.921631,113.0,11.117687
-0.041016,0.065674,-0.932129,113.0,11.148938
-0.01416,0.05542,-0.928955,112.0,11.18087
-0.035645,0.08667,-0.938232,112.0,11.212662
-0.039551,0.076172,-0.934814,112.0,11.243953
-0.034668,0.080566,-0.930176,115.0,11.275683
-0.037598,0.060791,-0.915771,116.0,11.306865
-0.031738,0.083984,-0.931152,112.0,11.338862
-0.019043,0.0625,-0.935303,116.0,11.37034
-0.0354,0.064453,-0.941895,117.0,11.402218
-0.029541,0.09082,-0.930664,116.0,11.433166
-0.016357,0.051025,-0.927979,115.0,11.465166
-0.036377,0.090332,-0.931396,114.0,11.497166
-0.028076,0.057861,-0.937256,116.0,11.528166
-0.031738,0.067627,-0.927734,114.0,11.560167
-0.027832,0.074951,-0.93042,116.0,11.592176
-0.025635,0.064697,-0.9375,113.0,11.623407
-0.015869,0.088867,-0.920166,114.0,11.655179
-0.033203,0.049561,-0.929199,113.0,11.68717
-0.046387,0.053955,-0.913574,114.0,11.718173
-0.030762,0.067627,-0.945801,114.0,11.750171
-0.049561,0.074951,-0.914795,115.0,11.781169
-0.03418,0.055176,-0.934814,115.0,11.81325
-0.03418,0.070068,-0.928955,116.0,11.844245
-0.017578,0.087158,-0.945801,118.0,11.876282
-0.028809,0.085938,-0.922607,117.0,11.908252
-0.032715,0.052979,-0.936768,115.0,11.940316
-0.02832,0.076904,-0.936523,117.0,11.97125
-0.023193,0.056885,-0.948975,116.0,12.003052
-0.033691,0.085938,-0.924561,116.0,12.035039
-0.032959,0.086182,-0.935547,115.0,12.066049
-0.020264,0.105957,-0.937256,115.0,12.097828
-0.020752,0.057373,-0.921631,115.0,12.129828
-0.0271,0.058594,-0.926514,114.0,12.160824
-0.037598,0.061279,-0.916992,115.0,12.192934
-0.022461,0.091797,-0.925293,116.0,12.224847
-0.030273,0.066162,-0.914063,116.0,12.25685
-0.017578,0.065674,-0.927979,115.0,12.287819
-0.022705,0.057129,-0.995117,116.0,12.318821
-0.019531,0.090088,-0.946289,116.0,12.350826
-0.016846,0.080078,-0.92627,117.0,12.382973
-0.034668,0.075684,-0.940918,115.0,12.414858
-0.030029,0.080322,-0.943604,114.0,12.445878
-0.033936,0.087891,-0.921875,116.0,12.47796
-0.032227,0.069336,-0.927246,115.0,12.509827
-0.041016,0.066895,-0.935059,115.0,12.540823
-0.033691,0.058594,-0.921387,117.0,12.572841
-0.032227,0.093018,-0.928711,110.0,12.604851
-0.032227,0.054443,-0.920654,116.0,12.635851
-0.028076,0.068848,-0.915527,115.0,12.666827
